KEY_CODE,HYOSYO,CITYNAME,NAME,人口総数,男,女,世帯総数
123220110,2,酒々井町,柏木,275,129,146,116
123220120,2,酒々井町,下岩橋,679,351,328,368
123220130,2,酒々井町,伊篠,307,143,164,108
123220140,2,酒々井町,伊篠新田,55,30,25,20
123220150,2,酒々井町,篠山新田,12,7,5,4
123220160,2,酒々井町,今倉新田,12,6,6,3
123220170,3,酒々井町,東酒々井,5556,2718,2838,2634
12322017001,4,酒々井町,東酒々井一丁目,943,465,478,495
12322017002,4,酒々井町,東酒々井二丁目,899,455,444,413
12322017003,4,酒々井町,東酒々井三丁目,1282,619,663,637
12322017004,4,酒々井町,東酒々井四丁目,702,339,363,298
12322017005,4,酒々井町,東酒々井五丁目,826,411,415,347
12322017006,4,酒々井町,東酒々井六丁目,904,429,475,444
123220180,2,酒々井町,上本佐倉一丁目,322,151,171,139
123220190,3,酒々井町,中央台,3136,1446,1690,1493
12322019001,4,酒々井町,中央台一丁目,855,414,441,427
12322019002,4,酒々井町,中央台二丁目,1030,486,544,478
12322019003,4,酒々井町,中央台三丁目,858,353,505,396
12322019004,4,酒々井町,中央台四丁目,393,193,200,192
123220200,3,酒々井町,ふじき野,2294,1139,1155,764
12322020001,4,酒々井町,ふじき野一丁目,601,304,297,195
12322020002,4,酒々井町,ふじき野二丁目,857,423,434,288
12322020003,4,酒々井町,ふじき野三丁目,836,412,424,281
12329,1,栄町,,20127,9869,10258,8276
123290011,3,栄町,安食,1584,818,766,738
12329001101,4,栄町,安食一丁目,401,217,184,204
12329001102,4,栄町,安食二丁目,588,300,288,285
12329001103,4,栄町,安食三丁目,595,301,294,249
123290012,3,栄町,安食,4442,2191,2251,1847
12329001201,4,栄町,安食上町,842,429,413,378
12329001202,4,栄町,安食台下,188,94,94,80
12329001203,4,栄町,安食辺引,370,182,188,176
12329001204,4,栄町,安食鷲町,459,217,242,159
12329001205,4,栄町,安食仲町,584,295,289,232
12329001206,4,栄町,安食下町,345,174,171,165
12329001207,4,栄町,安食木塚,322,158,164,102
12329001208,4,栄町,安食松ヶ丘,291,141,150,123
12329001209,4,栄町,安食田中，白山,1041,501,540,432
123290020,3,栄町,安食台,4778,2317,2461,1984
12329002001,4,栄町,安食台一丁目,146,77,69,54
12329002002,4,栄町,安食台二丁目,907,449,458,385
12329002003,4,栄町,安食台三丁目,1195,565,630,495
12329002004,4,栄町,安食台四丁目,1083,520,563,431
12329002005,4,栄町,安食台五丁目,641,318,323,281
12329002006,4,栄町,安食台六丁目,806,388,418,338
123290030,2,栄町,須賀,221,106,115,84
123290040,2,栄町,新田,96,45,51,35
123290050,2,栄町,北辺田,254,131,123,89
123290060,2,栄町,矢口,215,117,98,74
123290070,3,栄町,矢口神明,2,-,2,1
12329007001,4,栄町,矢口神明一丁目,-,-,-,-
12329007002,4,栄町,矢口神明二丁目,-,-,-,-
12329007003,4,栄町,矢口神明三丁目,-,-,-,-
12329007004,4,栄町,矢口神明四丁目,2,-,2,1
12329007005,4,栄町,矢口神明五丁目,-,-,-,-
123290080,2,栄町,興津,181,84,97,73
123290090,2,栄町,麻生,100,41,59,35
123290100,2,栄町,龍角寺,203,102,101,79
123290110,3,栄町,酒直,651,312,339,234
12329011001,4,栄町,酒直,512,231,281,184
12329011002,4,栄町,酒直南部,139,81,58,50
123290120,3,栄町,酒直台,1061,510,551,464
12329012001,4,栄町,酒直台一丁目,571,276,295,247
12329012002,4,栄町,酒直台二丁目,490,234,256,217
123290140,3,栄町,竜角寺台,3900,1894,2006,1584
12329014001,4,栄町,竜角寺台一丁目,292,145,147,114
12329014002,4,栄町,竜角寺台二丁目,701,331,370,292
12329014003,4,栄町,竜角寺台三丁目,679,329,350,286
12329014004,4,栄町,竜角寺台四丁目,906,437,469,375
12329014005,4,栄町,竜角寺台五丁目,700,335,365,283
12329014006,4,栄町,竜角寺台六丁目,622,317,305,234
123290150,2,栄町,西,131,71,60,50
123290160,2,栄町,布太,89,44,45,33
123290170,2,栄町,三和,106,51,55,36
123290180,2,栄町,中谷,87,41,46,32
123290190,2,栄町,北,172,78,94,60
123290200,2,栄町,布鎌酒直,104,57,47,38
123290210,2,栄町,和田,160,88,72,60
123290220,2,栄町,押付,237,118,119,84
123290230,2,栄町,曽根,124,61,63,48
123290240,2,栄町,南,176,81,95,66
123290250,3,栄町,南ヶ丘,782,372,410,352
12329025001,4,栄町,南ヶ丘一丁目,368,182,186,158
12329025002,4,栄町,南ヶ丘二丁目,414,190,224,194
123290260,2,栄町,請方,182,93,89,62
123290270,2,栄町,生板鍋子新田,89,46,43,34
12342,1,神崎町,,5816,2938,2878,2289
123420010,2,神崎町,神崎本宿,1269,632,637,508
123420020,2,神崎町,神崎神宿,320,143,177,100
123420030,2,神崎町,松崎,49,23,26,16
123420040,2,神崎町,向野,81,43,38,25
123420050,2,神崎町,小松,303,146,157,109
